Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2021-06-25,194,196.8,196.8,191.4,2.48,0
2021-06-25,194,196.8,196.8,191.4,2.48,1.23
2021-06-24,193,194.4,194.8,190.4,0.78,-0.21
2021-06-23,188.6,194.8,194.8,187.6,0.69,3.29
2021-06-22,186.6,188.6,189.8,186.4,1.11,0.32
2021-06-21,183,188,189,183,0.58,2.06
2021-06-18,187.6,184.2,191,184.2,11.61,-2.13
2021-06-17,187.8,188.2,191,187.6,0.41,0.32
2021-06-16,190.8,187.6,194.8,187.6,1.58,-2.9
2021-06-15,190,193.2,193.2,190,1.27,1.68
2021-06-14,190,190,191.8,188.2,0.99,1.28
2021-06-11,191.4,187.6,191.4,187.2,0.93,-1.26
2021-06-10,190,190,191.4,188.2,1.41,0.42
2021-06-09,192.2,189.2,192.2,188.2,2.11,-1.56
2021-06-08,193.4,192.2,193.4,189,1.54,0.21
2021-06-07,190,191.8,194.6,188.2,3.58,0.84
2021-06-04,189.2,190.2,192.4,187.6,1.19,-2.86
2021-06-03,195.8,195.8,195.8,195.8,0,0
2021-06-01,193.6,195.8,199,193.6,2.08,-1.11
2021-05-31,192,198,199.2,192,6.73,2.7
2021-05-28,192,192.8,192.8,189,1.09,1.9
2021-05-27,192.4,189.2,192.8,189.2,1.99,-1.66
2021-05-26,187.4,192.4,192.4,187.4,2.03,2.67
2021-05-25,187,187.4,188.2,186,5.47,0.21
2021-05-24,184.8,187,187,182.2,4.41,1.08
2021-05-21,177.6,185,185.6,177.2,1.65,3.93
2021-05-20,179.8,178,179.8,176,0.78,-1.11
2021-05-19,179.8,180,180,176.6,1.27,0.33
2021-05-18,178.2,179.4,183,178.2,2.06,0.22
2021-05-17,178,179,179.4,175.2,0.74,0.79
2021-05-14,175.2,177.6,177.6,172.8,0.75,2.66
2021-05-13,176,173,176,172.6,1.01,-1.7
2021-05-12,176,176,176,173,1.07,1.15
2021-05-11,176,174,176.2,174,0.63,-1.14
2021-05-10,174.8,176,179.4,174.8,1.1,1.62
2021-05-07,179,173.2,179,172.6,1.22,-1.81
2021-05-06,176.6,176.4,179,174,2.61,1.61
2021-05-05,175,173.6,175,173,1.56,0.93
2021-05-04,173.4,172,175.6,172,0.97,-0.81
2021-04-30,174.2,173.4,175,173,2.09,-0.8
2021-04-29,173,174.8,177,172,4.99,1.63
2021-04-28,173.6,172,174.2,172,1.61,0.23
2021-04-27,175,171.6,175,171.6,0.78,-1.94
2021-04-26,175,175,175.8,173.4,0.27,1.16
2021-04-23,175,173,175,171.4,0.37,-0.35
2021-04-22,175.4,173.6,176.8,173.6,0.78,-0.91
2021-04-21,175.2,175.2,177,175.2,0.2,-1.79
2021-04-20,181,178.4,181,175.4,0.75,-1.44
2021-04-19,180.8,181,181.8,179,0.6,0
2021-04-16,181,181,181,178,0.75,0
2021-04-15,182,181,182,180.2,0.99,0
2021-04-14,180.6,181,182,178.6,0.79,0
2021-04-13,183,181,183.6,179.8,0.26,-1.09
2021-04-12,181,183,183,180,0.39,0.66
2021-04-09,180.8,181.8,183.8,179.6,1.26,0.55
2021-04-08,180,180.8,180.8,174.6,0.5,1.69
2021-04-07,179,177.8,180.4,173.4,0.91,-1.22
2021-04-06,173,180,180.2,172.8,1.62,3.93
2021-04-05,173.2,173.2,173.2,173.2,0,0
2021-04-02,173.2,173.2,173.2,173.2,0,0
2021-04-01,172.8,173.2,174,170.8,1.35,-0.69
2021-03-31,173.4,174.4,175.4,173,0.84,1.28
2021-03-30,176.6,172.2,177.8,171.4,0.49,-2.6
2021-03-29,174,176.8,176.8,174,0.8,1.61
2021-03-26,170.4,174,174.8,170.4,0.65,1.64
2021-03-25,171,171.2,174.8,165.4,2.47,-0.12
2021-03-24,173.6,171.4,173.6,171,0.6,-0.7
2021-03-23,174,172.6,174,171,0.31,0
2021-03-22,170.6,172.6,174.8,170.6,0.55,1.17
2021-03-19,172.2,170.6,176,170.6,4.89,-1.16
2021-03-18,177.2,172.6,178,172.6,1.19,-3.03
2021-03-17,181.4,178,182.2,175.2,1.67,-3.16
2021-03-16,184.8,183.8,185,182.2,0.97,-0.65
2021-03-15,185,185,185.8,183.2,0.86,0.54
2021-03-11,185,184,187,181.6,0.71,-1.5
2021-03-10,184,186.8,186.8,181.4,1.13,1.63
2021-03-09,180.4,183.8,184.8,180.4,0.47,0.33
2021-03-08,180,183.2,183.8,179,0.45,1.78
2021-03-05,181,180,182.6,180,0.93,-0.55
2021-03-04,182.4,181,184.4,181,2.16,-0.88
2021-03-03,185.8,182.6,186.4,181.6,0.58,-1.72
2021-03-02,184,185.8,188,183.8,0.79,-0.11
2021-03-01,185.6,186,187,182.2,1.89,2.2
2021-02-26,181,182,185.8,181,2.16,-1.41
2021-02-25,182,184.6,186,182,4.59,1.65
2021-02-24,176,181.6,182,176,8.32,4.97
2021-02-23,181.8,173,184.8,169.2,2.93,-4.74
2021-02-22,184.8,181.6,187.8,181.6,1.79,-2.89
2021-02-19,187,187,188.6,183.2,2.91,-0.32
2021-02-18,188,187.6,190,184.2,3.14,0.54
2021-02-17,182,186.6,190,176.2,5.75,1.3
2021-02-16,173,184.2,188.8,173,11.27,6.72
2021-02-15,172,172.6,173.2,172,0.21,1.17
2021-02-12,170,170.6,172.4,170,0.33,0.12
2021-02-11,170.2,170.4,173.8,170.2,1.28,0.24
2021-02-10,174,170,174,169.8,0.41,-1.62
2021-02-09,170.4,172.8,173,169.4,0.45,1.53
2021-02-08,171,170.2,172.4,170.2,0.33,-1.16
2021-02-05,171.4,172.2,172.4,170,0.55,1.77
2021-02-04,169.2,169.2,172.6,169.2,1.01,0
2021-02-03,171,169.2,171.4,169.2,0.97,-1.05
2021-02-02,170,171,172.6,169.6,0.44,0
2021-02-01,169.2,171,172.2,169.2,0.31,0
2021-01-29,170,171,172.4,168.4,1.12,0
2021-01-28,170,171,171,165.4,1.48,0
2021-01-27,172,171,172,167.2,0.84,-0.58
2021-01-26,166.2,172,172,166,1.38,2.87
2021-01-25,173,167.2,174,166.2,0.84,-3.24
2021-01-22,170,172.8,172.8,164,0.62,1.65
2021-01-21,172.8,170,175.6,170,0.72,-1.73
2021-01-20,176,173,176,171.8,0.27,-1.7
2021-01-19,175,176,176.8,171.2,0.73,0.92
2021-01-18,171,174.4,175,170.2,1.17,1.99
2021-01-15,175.4,171,175.4,170.2,0.95,-2.51
2021-01-14,172.8,175.4,175.4,170.8,0.77,1.39
2021-01-13,178,173,178,171.2,0.79,-2.81
2021-01-12,178,178,178,175.8,0.78,0.56
2021-01-11,178,177,178.6,173.8,2.07,-1.45
2021-01-08,175.4,179.6,179.6,175.4,2.49,2.86
2021-01-07,170.8,174.6,175.8,169.4,1.72,2.83
2021-01-05,170.8,169.8,172,164,4.05,-0.7
2021-01-04,170.8,171,171,167.2,3.52,0
2020-12-31,171,171,171,171,0,0
2020-12-30,171.8,171,171.8,171,2.51,-0.47
2020-12-29,171,171.8,172,167.4,1.44,1.06
2020-12-28,165,170,170,165,1.89,3.03
2020-12-24,165,165,165,165,0,0
2020-12-23,162,165,165,160,1.18,3.13
2020-12-22,156,160,160,156,0.65,2.56
2020-12-21,154,156,157,149.4,3.06,0
2020-12-18,158.4,156,160,152.2,4.47,-3.11
2020-12-17,164.2,161,166,158.2,1.64,-1.71
2020-12-16,159,163.8,165,158,1.33,3.02
2020-12-15,158.8,159,159,155.4,0.69,1.27
2020-12-14,159,157,159,156,0.54,-0.63
2020-12-11,160.4,158,160.4,150.4,4.26,-1.5
2020-12-10,167,160.4,167,158.2,2.58,-3.95
2020-12-09,164,167,168.8,164,1.57,2.2
2020-12-08,167.8,163.4,167.8,162,1.11,-1.45
2020-12-07,170,165.8,170,163.2,1.95,-2.47
2020-12-04,165.2,170,170,165,2.3,3.16
2020-12-03,159.4,164.8,164.8,155.2,1.8,6.19
2020-12-02,158,155.2,159.6,155.2,0.75,-1.4
2020-12-01,156.8,157.4,159,154.4,0.68,2.21
2020-11-30,155.6,154,158,152.2,1.27,-3.14
2020-11-27,160.8,159,160.8,156.8,1.11,-1.12
2020-11-26,159.6,160.8,160.8,158,2.21,0.75
